,filename,neck,sleeve_length,pattern,neck_pred,length_pred,pattern_pred
49,11474968795817-Tommy-Hilfiger-Men-Blue-Printed-Polo-Collar-T-Shirt-2071474968795649-1.jpg,6.0,3.0,10.0,6,4,9
50,471d155e-7762-47f9-bb51-ba51466369101535777982419-OVS-Men-Tshirts-1331535777982241-3.jpg,5.0,3.0,9.0,6,0,9
51,11508306028722-FOREVER-21-Men-Grey-Melange-Self-Design-Hood-T-shirt-8511508306028552-4.jpg,7.0,3.0,9.0,6,3,9
53,355cc058-d885-4f12-b021-20363b84adfc1528959874384-Campus-Sutra-Solid-Men-Round-Neck-Multicolor-T-Shirt-3521528959874253-3.jpg,6.0,0.0,10.0,6,0,9
54,11522327442389-Columbia-Men-Tshirts-6201522327442274-5.jpg,6.0,4.0,9.0,6,3,9
55,11501223226996-INVICTUS-Men-White-Slim-Fit-T-Shirt-8811501223226869-5.jpg,6.0,3.0,6.0,6,3,9
56,9b67ae74-dac2-4864-b6b0-a5317934900f1528368969855-na-3741528368968714-5.jpg,6.0,3.0,9.0,6,3,9
57,11493293272602-INVICTUS-Men-White-Solid-Polo-Collar-Slim-T-shirt-2221493293272363-1.jpg,6.0,1.0,9.0,6,3,9
59,11507205648745-Harvard-Men-Navy-Solid-Henley-Neck-T-shirt-8791507205648557-4.jpg,7.0,3.0,9.0,6,4,9
60,11483513152008-Moda-Rapido-Men-Tshirts-2761483513151628-3.jpg,7.0,4.0,9.0,6,0,9
61,11522666328568-SayItLoud-Solid-Men-Hooded-Tshirt-4001522666328340-1.jpg,1.0,3.0,9.0,1,3,9
62,11523358662946-Monteil--Munero-Men-Black-Printed-Polo-Collar-T-shirt-2911523358662770-3.jpg,3.0,3.0,9.0,6,3,9
63,11513597438846-na-4761513597438707-3.jpg,7.0,3.0,9.0,6,3,9
64,GRITSTONES-Men-Tshirts_2_a491288495417455d8739bcf9c983e28.jpg,6.0,0.0,9.0,6,0,9
65,a89231ae-af21-43be-9a91-92f469d6c51b1529566485553-FIDO-DIDO-Men-Grey-Printed-Round-Neck-T-shirt-6471529566485417-4.jpg,6.0,1.0,9.0,6,3,9
67,11520848212358-Adidas-Men-Black-Solid-Round-Neck-T-shirt-3271520848212277-5.jpg,7.0,3.0,10.0,6,3,9
69,11525683179483-SEVEN-by-MS-Dhoni-Men-Yellow-Printed-Round-Neck-T-shirt-8611525683179381-3.jpg,7.0,3.0,8.0,6,3,9
71,2fd368fd-6ad3-40a4-b734-a59266ece76c1525928796795-Sweet-Dreams-Men-White-Printed-Lounge-T-shirt-MT-198218COM-721525928796636-5.jpg,6.0,3.0,9.0,6,3,9
72,a6505400-7d81-43ba-90d1-8053726ba49b1534397262507-Jack--Jones-Men-Green-Printed-Polo-Collar-T-shirt-8631534397262330-5.jpg,7.0,4.0,10.0,6,3,9
73,11520343804107-WROGN-Men-Off-White-Printed-Round-Neck-T-shirt-1371520343803918-3.jpg,4.0,3.0,9.0,6,3,9
75,11524548274663-United-Colors-of-Benetton-Men-Blue-Striped-Polo-Collar-T-shirt-1081524548274559-3.jpg,3.0,4.0,9.0,6,4,9
76,11520856520473-Nike-Men-Red-Solid-Mandarin-Collar-AS-M-NSW-GSP-POLO-SS-KNT-T-shirt-1441520856520290-3.jpg,2.0,3.0,9.0,6,4,9
77,8c9c76be-6096-4c31-ae7f-fef66b3f310b1535966576294-Peter-England-Men-Tshirts-9141535966576140-3.jpg,7.0,4.0,4.0,6,3,4
78,11518593965902-ether-Men-Black-Solid-Round-Neck-T-shirt-9721518593965716-2.jpg,4.0,3.0,9.0,6,3,9
80,11522918298516-MTS-CHR-Paris-A92-5901522918298352-3.jpg,6.0,3.0,3.0,6,3,9
81,11501742459352-Adidas-Men-Tshirts-5161501742459372-3.jpg,0.0,3.0,9.0,6,0,9
82,97db6dff-f840-4aad-8692-c941d9fb08811526902526874-ERA-OF-ATTITUDE-Men-Grey-Printed-V-Neck-T-shirt-4391526902526665-1.jpg,7.0,3.0,10.0,6,3,9
84,11524738948890-s-9301524738948693-1.jpg,2.0,3.0,9.0,6,3,9
85,11517468558211-2GO-Charcoal-Grey-Sleeveless-T-shirt-8141517468558085-2.jpg,6.0,2.0,10.0,6,2,9
86,11518239370478-Crimsoune-Club-Men-White-Solid-Mandarin-Collar-T-shirt-8511518239370300-3.jpg,2.0,3.0,10.0,2,3,9
87,0ed8b0b2-2755-41ee-aabf-891f471ffcbc1526980251941-Harvard-Men-Blue-Solid-Polo-Collar-T-shirt-6431526980249855-5.jpg,7.0,3.0,9.0,6,3,9
88,11500881084090-Roadster-Men-Teal-Printed-Henley-Neck-T-shirt-8811500881083980-5.jpg,0.0,3.0,10.0,6,3,9
89,11522214483115-Pepe-Jeans-Men-Grey-Striped-Round-Neck-T-shirt-3121522214483015-4.jpg,0.0,3.0,10.0,6,3,9
91,7e5b9e96-cf1d-4f9e-a66b-0c9341c427d11526385128530-BONATY-Red-100-Cotton-Round-Neck-Printed-T-Shirt-For-Men-5551526385128375-3.jpg,4.0,4.0,10.0,6,3,9
92,a8e979bf-1474-4af4-acc7-868989685b0c1527662116524-Thisrupt-Mens-Black-Colour-T-shirt-2771527662115349-3.jpg,6.0,3.0,9.0,6,4,9
93,b8b15e78-6aab-4a9b-ac60-5c6d99fed0b51529299944190-Monte-Carlo-Men-Blue-Solid-Mandarin-Collar-T-shirt-7311529299944027-5.jpg,2.0,4.0,9.0,6,3,9
94,11521534198275-ether-Men-White-Solid-Round-Neck-T-shirt-91521534198187-5.jpg,6.0,3.0,9.0,6,3,9
95,353ecfe5-a7b9-4d70-af12-941a6b7452231536384217061-Wills-Lifestyle-Men-Maroon-Self-Design-Slim-Fit-Polo-T-Shirt-3721536384216829-2.jpg,6.0,3.0,9.0,2,3,9
96,11507187845598-United-Colors-of-Benetton-Men-Tshirts-471507187845316-2.jpg,6.0,4.0,4.0,6,4,4
97,63f690f3-d0fb-405c-b4f5-ebae6eb917b91531913872177-Puma-Men-Black-Run-Singlet-Mono-DRY-CELL-Solid-Round-Neck-T--3.jpg,6.0,2.0,9.0,6,2,9
99,11515132933522-Levis-Men-Navy-Solid-Polo-Collar-T-shirt-2761515132933329-1.jpg,6.0,3.0,9.0,6,3,9
101,d56ed310-c1d1-4c3f-8cd7-a8388386e42d1533300355387-WROGN-Men-Burgundy-Printed-Round-Neck-T-shirt-11515333003534-1.jpg,6.0,4.0,3.0,6,3,9
102,11516773171031-Harley-Davidson-Men-Tshirts-41516773170861-3.jpg,5.0,3.0,10.0,6,3,9
103,11525354274551-Basics-Men-Beige-Printed-Round-Neck-T-shirt-91525354274399-5.jpg,6.0,3.0,10.0,6,3,9
104,11521017201553-Splash-Men-Tshirts-9731521017201421-3.jpg,1.0,4.0,9.0,1,3,9
105,020ec6fe-b721-47a4-889f-d47a2b7e1ecc1534749743880-ELABORADO-Men-Brown-Dyed-V-Neck-T-shirt-5531534749742301-1.jpg,6.0,3.0,10.0,6,3,9
106,b19a3f6c-455a-4a31-bb0b-e2d38e43e31e1530874369833-Skult-Mens-White-T-shirts-7531530874368836-4.jpg,0.0,3.0,10.0,6,3,9
108,11523429813895-Nike-Black-Dry-Training-Printed-T-Shirt-9921523429813760-2.jpg,6.0,4.0,8.0,6,3,9
109,11518170190779-Superdry-Men-Black-Printed-Polo-Collar-T-shirt-5991518170190585-2.jpg,6.0,4.0,4.0,6,3,9
110,11502708167208-Tokyo-Laundry-Men-Grey-Melange-Solid-Henley-Neck-T-shirt-3871502708166920-1.jpg,7.0,3.0,9.0,6,3,9
111,11522817126579-FOREVER-21-Men-Tshirts-8471522817126486-5.jpg,0.0,4.0,9.0,6,3,9
113,11504934934824-People-Men-White-Striped-Henley-Neck-T-shirt-3821504934934710-5.jpg,0.0,4.0,9.0,6,3,9
114,474b3b89-ca15-4ad2-95ea-d079e0c8e2ea1527070652373-Fully-Filmy-Men-Maroon-Printed-Round-Neck-T-shirt-5241527070652285-5.jpg,6.0,3.0,9.0,6,3,9
116,11512971750432-Red-Tape-Men-Tshirts-1291512971750430-5.jpg,7.0,3.0,9.0,6,3,9
118,89b8332d-be3c-4e77-b700-e4867241a8581527929323546-na-2381527929323189-1.jpg,7.0,3.0,8.0,6,3,9
119,11511442812780-Moda-Rapido-Men-Black--Grey-Striped-Longline-T-shirt-3141511442812682-2.jpg,7.0,3.0,9.0,6,3,9
120,11503484722306-American-Crew-Men-Grey-Striped-Polo-Collar-T-shirt-211503484722057-2.jpg,6.0,3.0,7.0,6,3,9
121,11522224397733-Marvel-Mens-Black-Jaspe-Color-Half-Sleeve-T-shirtSize--S-561522224397558-1.jpg,4.0,3.0,9.0,6,3,9
122,11493721294954-Tommy-Hilfiger-Men-Blue-Solid-Mandarin-Collar-T-shirt-9111493721294833-4.jpg,2.0,3.0,9.0,6,3,9
123,a0590e9c-d4ee-4f1b-bd3e-19237b993d561528807476401-Maniac-Men-Black-Checked-Round-Neck-T-shirt-7821528807476184-1.jpg,7.0,3.0,1.0,6,3,1
127,11521634281972-GESPO-Men-White-Printed-Round-Neck-T-shirt-4241521634281853-5.jpg,6.0,1.0,10.0,6,3,9
128,fb0800e2-7dae-4853-8614-205bcbe9cbe91531133402141-Roadster-Men-Tshirts-4611531133400115-1.jpg,5.0,3.0,10.0,6,3,9
129,11510295611729-Wills-Lifestyle-Men-Tshirts-6421510295611608-5.jpg,6.0,3.0,4.0,6,3,9
130,GRITSTONES-Men-Maroon--Black-Hooded-T-shirt_5_48b96fecaee366eaa2a7e33fce62cab0.jpg,1.0,3.0,9.0,1,3,9
131,11519991145252-Numero-Uno-Men-Tshirts-3331519991145132-4.jpg,3.0,3.0,9.0,6,3,9
132,11521619733189-ESPRIT-Men-Tshirts-2601521619732978-1.jpg,6.0,3.0,9.0,6,3,9
133,11519883266682-Proline-Active-Men-Olive-Green-Solid-Round-Neck-T-shirt-9001519883266510-4.jpg,6.0,2.0,9.0,6,2,9
134,1f926367-3663-488f-910a-0e4035449f5d1532417106618-Moda-Rapido-Men-Tshirts-3841532417100208-1.jpg,6.0,4.0,9.0,6,3,9
135,11514464949204-Difference-of-Opinion-Men-Black-Printed-Round-Neck-T-shirt-4331514464949091-4.jpg,6.0,3.0,9.0,6,3,9
136,2c6136e4-d221-49df-b9e3-8b7b6bc3823e1531745573625-Nike-Men-Flourescent-Green-Breathe-FC-Barcelona-Stadium-Away-3.jpg,7.0,3.0,9.0,6,3,9
137,0c39b0fe-2ef6-487b-a2d6-b36cc7608e961535784158818-NA-8041535784158713-5.jpg,4.0,3.0,9.0,6,3,9
138,11514874463689-Force-NXT-Men-Tshirts-2941514874463533-5.jpg,0.0,3.0,9.0,6,0,9
139,11519278554498-INVICTUS-Men-Orange-Printed-Polo-Collar-T-shirt-921519278554330-3.jpg,6.0,1.0,9.0,6,3,9
140,11522734858859-HRX-by-Hrithik-Roshan-Men-Tshirts-6541522734858718-1.jpg,6.0,3.0,9.0,6,3,9
141,11489735365719-FOREVER-21-Men-Cream-Solid-Round-Neck-T-Shirt-6311489735365440-3.jpg,7.0,3.0,9.0,6,3,9
145,b7e6b56e-97cc-42d5-9428-4d6d1d46b3861531982818511-WROGN-Men-Tshirts-3531531982817399-5.jpg,0.0,3.0,9.0,6,3,9
146,bda2bacb-1b09-4add-96e1-7d1bd4e5c6f91533015512851-Roadster-Men-Green-Solid-V-Neck-T-shirt-2371533015511634-2.jpg,6.0,0.0,10.0,6,0,9
148,11509956028160-United-Colors-of-Benetton-Men-Tshirts-2631509956027897-1.jpg,6.0,3.0,4.0,6,3,1
149,11513166312729-Puma-Men-Red-Self-Design-Polo-Collar-T-shirt-7501513166312665-3.jpg,7.0,3.0,4.0,6,4,9
150,5840419a-9bfd-48cf-bd32-42729bbe7d021528202496806-Deep-Armhole-vest-Hood-style-7351528202496597-3.jpg,1.0,3.0,9.0,1,2,9
151,48e3e9dd-5eb9-46c6-8598-3bd71386dae11528458830151-Mast--Harbour-Men-Black-Checked-Polo-Collar-T-shirt-71515284-3.jpg,6.0,4.0,1.0,6,3,1
152,17ba2f91-2574-4bca-8819-6af7bfcac23a1531823285407-na-4821531823285197-2.jpg,6.0,3.0,9.0,6,3,9
153,11504854957061-V-Dot-Men-Tshirts-9661504854957228-1.jpg,6.0,4.0,9.0,6,3,9
155,05d9e7ce-6876-4259-a570-a414382bafd01528284912518-Killer-Mens-Casual-T-shirt-5871528284911646-2.jpg,6.0,3.0,9.0,6,3,9
156,8a14b96a-18fb-491d-8e36-6a75384c44e51529135252027-SayItLoud-Men-Blue-Striped-Hood-T-shirt-1831529135250390-1.jpg,1.0,3.0,10.0,1,3,9
157,11505719482461-Status-Quo-Men-Coral-Solid-V-Neck-T-shirt-8741505719482283-2.jpg,7.0,3.0,10.0,6,4,9
158,11504951720178-John-Players-Men-Tshirts-41504951719979-4.jpg,6.0,3.0,2.0,6,3,9
159,11519985443093-na-6291519985442963-1.jpg,6.0,3.0,9.0,6,2,9
161,1cb646dd-dbcc-40be-bc83-0f964a09889b1530774533104-Chill-Winston-Solid-Men-Round-Neck-Blue-T-Shirt-7041530774532952-2.jpg,6.0,3.0,9.0,6,4,9
162,11520316123327-Timberland-Men-Tshirts-6211520316123000-1.jpg,7.0,3.0,10.0,6,3,9
163,f48e099a-ecee-4540-bd2d-4fc4c6885bf31535021004804-Bossini-Men-White-Printed-Round-Neck-T-shirt-553153502100328-1.jpg,6.0,3.0,2.0,6,3,9
164,11505388429810-Puma-Men-Tshirts-7891505388429698-1.jpg,4.0,3.0,10.0,6,3,9
165,5a433ac2-5b2b-4b42-8728-c32f69f04d481526446254540-Mr-Bowerbird-Men-Olive-Green-Printed-Polo-Collar-T-shirt-1741526446253752-6.jpg,7.0,1.0,9.0,6,3,9
167,dd7e3f65-7a40-421c-a605-5d7ff8c2fa451534487135263-Crocodile-Men-Olive-Green-Striped-Polo-Collar-T-shirt-3591534487135145-4.jpg,6.0,3.0,7.0,6,3,9
168,2f458e2a-a332-4c47-a14e-197b3b104e531528871484374-na-9871528871484104-2.jpg,0.0,4.0,9.0,6,3,9
171,11522404502616-MANGO-MAN-Men-Tshirts-8031522404502538-4.jpg,6.0,4.0,10.0,6,3,9
172,11487574826274-Puma-Men-Blue-Colour-Blocked-Round-Neck-T-Shirt-3791487574826084-2.jpg,6.0,2.0,9.0,6,2,9
173,341d7287-97b6-4c2b-89ea-e4c104a471471526557211462-Rodamo-Men-Blue-Solid-V-Neck-T-shirt-8391526557211266-2.jpg,5.0,4.0,9.0,6,4,9
174,11520401829538-Mast--Harbour-Men-Tshirts-8081520401829292-1.jpg,7.0,3.0,9.0,6,3,9
175,11478590305093-ALCOTT-Men-Black-Printed-Round-Neck-T-Shirt-1921478590304998-5.jpg,6.0,3.0,9.0,6,3,9
176,11512553253793-BASICS-CASUAL-STRIPED-BLUE-COTTON-POLY-MUSCLE-TSHIRT-5761512553253711-5.jpg,5.0,3.0,9.0,6,3,9
177,11487678768823-Roadster-Men-Black-Solid-Round-Neck-T-Shirt-2001487678768601-5.jpg,6.0,0.0,9.0,6,0,9
178,0b673e6b-a1e3-4000-865d-a0074fb241c21533720395756-Moda-Rapido-Men-Grey-Melange-Printed-Round-Neck-T-shirt-4341-4.jpg,6.0,4.0,9.0,6,3,9
179,0cb549e0-7e6c-41f6-8954-8b349baa96081531820374476-Nike-Air-Men-Blue--Black-Striped-Sports-Tshirts-3471531820374320-3.jpg,6.0,4.0,9.0,6,3,9
180,11450433393712-ETHER-Burgundy-Slim-Fit-T-shirt-4881450433393552-5.jpg,2.0,3.0,10.0,2,3,9
181,11520503240793-YWC-Men-Navy-Blue-Printed-Round-Neck-T-shirt-4361520503240739-4.jpg,6.0,4.0,9.0,6,3,9
182,2727f972-b12b-4539-bae1-0e546f2d5bb91529386259684-Roadster-Men-Navy--Maroon-Striped-Polo-T-Shirt-7915293862586-2.jpg,6.0,4.0,9.0,6,3,9
184,76da0ec6-2ebd-4052-a515-c1f7797095601533891912171-Campus-Sutra-Round-Men-T-shirt-8501533891911897-1.jpg,6.0,3.0,8.0,6,3,9
185,11488795032336-Celio-Men-Black-Solid-Henley-Neck-T-Shirt-8241488795032117-1.jpg,0.0,3.0,9.0,6,4,9
187,11515491227517-Moda-Rapido-Men-Maroon-Solid-Round-Neck-T-shirt-561515491227472-2.jpg,6.0,0.0,9.0,6,0,9
189,6b7f598a-87c3-4571-93b0-b2cebf46e5121527228284759-MotoCult-Men-Red-Printed-Tshirts-6801527228284639-4.jpg,6.0,1.0,9.0,6,4,9
191,996f58eb-2b16-4d36-95bc-a859b579806c1534418439996-GULLY-Men-Navy-Blue-Printed-Round-Neck-T-shirt-7661534418439895-5.jpg,6.0,3.0,9.0,6,3,9
192,GRITSTONES-Men-Tshirts_6_898b9e4244de3c719711b56b1ac83a4b.jpg,0.0,4.0,9.0,6,3,9
193,11481618341274-GRITSTONES-Men-Tshirts-4011481618341160-1.jpg,1.0,3.0,9.0,6,0,9
194,11500620793354-ether-Men-Grey-Melange-Solid-Henley-Neck-T-shirt-961500620793181-3.jpg,6.0,3.0,9.0,6,0,9
195,11499940328711-INVICTUS-Men-Navy-Blue-Printed-Polo-Collar-T-shirt-9101499940328565-2.jpg,3.0,3.0,9.0,6,4,9
196,11516598521485-Gespo-Hooded-Long-Sleeves-T-shirt-8881516598521332-1.jpg,1.0,4.0,10.0,6,3,9
198,11520505906619-ether-Men-Mustard-Printed-Round-Neck-T-shirt-6011520505906497-5.jpg,7.0,1.0,9.0,6,3,9
199,a3e26504-9b49-44f5-ba1a-15cf4b1c578b1534239118609-Nike-Men-Black-Printed-JORDAN-AIR-GX-Round-Neck-T-shirt-8041-2.jpg,6.0,3.0,9.0,6,3,9
200,11502446333303-INVICTUS-Men-Orange-Solid-Polo-Collar-T-shirt-5681502446333151-4.jpg,3.0,3.0,9.0,6,3,9
202,33037c08-e06e-4ba7-b27a-762812e3b4a51528952531409-HERENOW-Men-Black-Striped-V-Neck-T-shirt-2491528952530584-5.jpg,5.0,3.0,10.0,6,3,9
203,e570d892-3d9f-4001-837b-a7edf36611691528202773671-Cowl-neck-Cotton-Sleeveless-3441528202773523-4.jpg,6.0,4.0,9.0,6,2,9
204,419d640d-5dc0-4e30-ad70-73060de055d71527934484435-Campus-Sutra-Solid-Men-V-neck-Multicolor-T-Shirt-2771527934484180-3.jpg,5.0,3.0,9.0,6,3,9
205,11505995747345-ether-Men-White-Striped-Polo-Collar-T-shirt-3311505995747264-3.jpg,6.0,4.0,7.0,6,3,9
206,11488953124110-ether-Men-Beige-Solid-Polo-Collar-T-Shirt-6821488953123882-1.jpg,6.0,4.0,9.0,6,3,9
207,3b5985b8-ae33-4ceb-99d5-4413f28e11f31534245152948-na-6061534245152816-3.jpg,6.0,3.0,9.0,6,3,9
208,c83d745f-c0a6-41b5-bcf5-4451066eaf6c1529313846361-Rex-Straut-Jeans-Men-Grey-Printed-Hood-T-shirt-461529313846228-2.jpg,1.0,3.0,9.0,1,3,9
209,11503578761710-Celio-Men-Navy-Blue-Solid-Mandarin-Collar-T-shirt-4621503578761809-4.jpg,2.0,4.0,9.0,6,3,9
211,11501743343151-Park-Avenue-Men-Tshirts-7451501743343619-5.jpg,7.0,3.0,10.0,6,3,9
212,bfe61664-1055-4781-9053-c12fc0652f531526540855177-Kook-N-Keech-Disney-Men-Blue-Printed-Round-Neck-T-shirt-3031526540853324-4.jpg,6.0,2.0,9.0,6,2,9
213,11498045361772-Kook-N-Keech-Marvel-Men-Grey-Printed-Polo-Collar-T-shirt-6321498045361635-4.jpg,6.0,3.0,9.0,6,3,9
214,7afca631-b5b4-4f20-9627-4fa1f2f26a5e1527577972518-Kook-N-Keech-Garfield-Men-Tshirts-2551527577972330-2.jpg,6.0,2.0,9.0,6,2,9
215,11460705266987-Killer-Navy-Printed-T-shirt-8181460705266265-1.jpg,5.0,3.0,9.0,6,3,9
216,11511415241596-Vineyard-Stripped-Thumbhole-Tee-7931511415241459-5.jpg,6.0,3.0,9.0,6,0,9
217,11488777035709-Mast--Harbour-Men-White-Printed-Round-Neck-T-Shirt-2121488777035544-4.jpg,7.0,3.0,10.0,6,3,9
218,3454c8cf-00c1-493a-82f7-7b0902b675841534485726969-HRX-by-Hrithik-Roshan-Men-Tshirts-6071534485726711-1.jpg,6.0,3.0,9.0,6,3,9
219,c1e589be-1177-4d3b-9aca-19193aa042ce1527748998168-UVW-Mens-Organic-Casual-Polo-Neck-Solid-T-Shirt-9701527748998002-3.jpg,6.0,3.0,6.0,6,4,9
220,11494593371388-Roadster-Men-Olive-Green-Printed-Round-Neck-T-shirt-5611494593371876-1.jpg,6.0,3.0,10.0,6,3,9
222,11482494829820-US-Polo-Assn-Men-Fluorescent-Green-Solid-Round-Neck-T-shirt-4281482494829546-3.jpg,6.0,2.0,9.0,6,2,9
223,11525331574432-HERENOW-Men-Maroon-Colourblocked-Round-Neck-T-shirt-4051525331574344-1.jpg,6.0,4.0,9.0,6,3,9
